source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[depletion]	characteristics[biological replicate]	Technology Type	Material Type	assay name	comment[label]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 29	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_5.raw	HepG2
Sample 5	Homo sapiens	not available	Hepatoblastoma	not available	15Y	not available	Male	HepG2	epithelial-like	no depletion	1	proteomic profiling by mass spectrometry	cell	run 30	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100611_Velos1_TaGe_SA_HepG2_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100611_Velos1_TaGe_SA_HepG2_6.raw	HepG2
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 31	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_1.raw	Jurkat
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 32	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_2.raw	Jurkat
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 33	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_3.raw	Jurkat
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 34	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_4.raw	Jurkat
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 35	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_5.raw	Jurkat
Sample 6	Homo sapiens	not available	Childhood T acute lymphoblastic leukemia	not available	14Y	not available	Male	Jurkat	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 36	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_Jurkat_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_Jurkat_6.raw	Jurkat
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 37	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_1.raw	K562
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 38	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_2.raw	K562
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 39	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_3.raw	K562
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 40	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_4.raw	K562
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 41	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_5.raw	K562
Sample 7	Homo sapiens	not available	"Chronic myelogenous leukemia, BCR-ABL1 positive"	not available	53Y	not available	Female	K562	lymphoblast	no depletion	1	proteomic profiling by mass spectrometry	cell	run 42	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100614_Velos1_TaGe_SA_K562_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100614_Velos1_TaGe_SA_K562_6.raw	K562
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 43	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_1.raw	MCF7
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 44	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_2.raw	MCF7
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 45	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_3.raw	MCF7
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 46	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_4.raw	MCF7
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 47	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_5.raw	MCF7
Sample 8	Homo sapiens	not available	"Invasive ductal carcinoma, not otherwise specified"	not available	not available	not available	not available	MCF7	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 48	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_MCF7_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_MCF7_6.raw	MCF7
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 49	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_1.raw	RKO
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 50	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_2.raw	RKO
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 51	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_3.raw	RKO
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 52	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_4.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_4.raw	RKO
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 53	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_5.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_5.raw	RKO
Sample 9	Homo sapiens	not available	Colon carcinoma	not available	not available	not available	not available	RKO	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 54	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100616_Velos1_TaGe_SA_RKO_6.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100616_Velos1_TaGe_SA_RKO_6.raw	RKO
Sample 10	Homo sapiens	not available	Prostate carcinoma	not available	50Y	not available	Male	LanCap	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 55	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100618_Velos1_TaGe_SA_LanCap_1.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100618_Velos1_TaGe_SA_LanCap_1.raw	LanCap
Sample 10	Homo sapiens	not available	Prostate carcinoma	not available	50Y	not available	Male	LanCap	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 56	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100618_Velos1_TaGe_SA_LanCap_2.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100618_Velos1_TaGe_SA_LanCap_2.raw	LanCap
Sample 10	Homo sapiens	not available	Prostate carcinoma	not available	50Y	not available	Male	LanCap	epithelial	no depletion	1	proteomic profiling by mass spectrometry	cell	run 57	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002395/20100618_Velos1_TaGe_SA_LanCap_3.raw	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=PRIDE:0000558;NT=SAX	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	AC=MS:1000422;NT=HCD	not available	6 ppm	20 ppm	20100618_Velos1_TaGe_SA_LanCap_3.raw	LanCap
