source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	"characteristics[cell line]	"	characteristics[disease]	characteristics[biological replicate]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD022469-sample-83	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run83	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_11.raw	11	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-84	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run84	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_12.raw	12	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-85	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run85	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_13.raw	13	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-86	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run86	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_14.raw	14	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-87	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run87	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_15.raw	15	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-88	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run88	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_16.raw	16	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-89	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run89	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_17.raw	17	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-90	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run90	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_18.raw	18	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-91	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run91	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_19.raw	19	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-92	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run92	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_20.raw	20	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-93	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run93	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_21.raw	21	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-94	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run94	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_22.raw	22	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-95	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run95	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_23.raw	23	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-96	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run96	2	AP051218_Gurjeet_LA_Hu14_C18_Binos_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP051218_Gurjeet_LA_Hu14_C18_Binos_24.raw	24	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-97	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run97	2	AP251018_Gurjeet_LA_Hu6_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_1.raw	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-98	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run98	2	AP251018_Gurjeet_LA_Hu6_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_2.raw	2	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-99	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run99	2	AP251018_Gurjeet_LA_Hu6_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_3.raw	3	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-100	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run100	2	AP251018_Gurjeet_LA_Hu6_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_4.raw	4	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-101	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run101	2	AP251018_Gurjeet_LA_Hu6_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_5.raw	5	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-102	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run102	2	AP251018_Gurjeet_LA_Hu6_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_6.raw	6	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-103	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run103	2	AP251018_Gurjeet_LA_Hu6_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_7.raw	7	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-104	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run104	2	AP251018_Gurjeet_LA_Hu6_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_8.raw	8	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-105	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run105	2	AP251018_Gurjeet_LA_Hu6_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_9.raw	9	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-106	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run106	2	AP251018_Gurjeet_LA_Hu6_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_10.raw	10	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-107	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run107	2	AP251018_Gurjeet_LA_Hu6_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_11.raw	11	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-108	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run108	2	AP251018_Gurjeet_LA_Hu6_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_12.raw	12	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-109	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run109	2	AP251018_Gurjeet_LA_Hu6_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_13.raw	13	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-110	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run110	2	AP251018_Gurjeet_LA_Hu6_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_14.raw	14	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-111	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run111	2	AP251018_Gurjeet_LA_Hu6_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_15.raw	15	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-112	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run112	2	AP251018_Gurjeet_LA_Hu6_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_16.raw	16	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
PXD022469-sample-113	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	cell	proteomic profiling by mass spectrometry	run113	2	AP251018_Gurjeet_LA_Hu6_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/02/PXD022469/AP251018_Gurjeet_LA_Hu6_17.raw	17	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	not available	5 ppm	0.07 Da	Blood plasma
