source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[nanoparticles]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[nanoparticles]	factor value[spiked compound]
PXD017052-Sample 12	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-003-001	run 34	proteomic profiling by mass spectrometer	EXP18102_X1066_A_MSB37240A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1066_A_MSB37240A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-003-001	not applicable
PXD017052-Sample 12	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-003-001	run 35	proteomic profiling by mass spectrometer	EXP18102_X1067_A_MSB37241A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1067_A_MSB37241A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-003-001	not applicable
PXD017052-Sample 12	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-003-001	run 36	proteomic profiling by mass spectrometer	EXP18102_X1068_A_MSB37242A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1068_A_MSB37242A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-003-001	not applicable
PXD017052-Sample 13	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-002	run 37	proteomic profiling by mass spectrometer	EXP18102_X1108_A_MSB37282A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1108_A_MSB37282A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-002	not applicable
PXD017052-Sample 13	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-002	run 38	proteomic profiling by mass spectrometer	EXP18102_X1109_A_MSB37283A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1109_A_MSB37283A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-002	not applicable
PXD017052-Sample 13	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-007-002	run 39	proteomic profiling by mass spectrometer	EXP18102_X1110_B_MSB37284B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1110_B_MSB37284B.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007-002	not applicable
PXD017052-Sample 14	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-011-001	run 40	proteomic profiling by mass spectrometer	EXP18102_X1114_A_MSB37288A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1114_A_MSB37288A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-011-001	not applicable
PXD017052-Sample 14	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-011-001	run 41	proteomic profiling by mass spectrometer	EXP18102_X1115_A_MSB37289A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1115_A_MSB37289A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-011-001	not applicable
PXD017052-Sample 14	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not applicable	1	SP-011-001	run 42	proteomic profiling by mass spectrometer	EXP18102_X1116_A_MSB37290A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP18102_X1116_A_MSB37290A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-011-001	not applicable
PXD017052-Sample 15	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-339	run 43	proteomic profiling by mass spectrometer	EXP19003_X1586_A_MSB38043A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1586_A_MSB38043A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	NoSpike
PXD017052-Sample 15	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-339	run 44	proteomic profiling by mass spectrometer	EXP19003_X1587_A_MSB38044A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1587_A_MSB38044A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	NoSpike
PXD017052-Sample 15	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-339	run 45	proteomic profiling by mass spectrometer	EXP19003_X1588_A_MSB38045A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1588_A_MSB38045A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	NoSpike
PXD017052-Sample 16	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-339	run 46	proteomic profiling by mass spectrometer	EXP19003_X1589_A_MSB38046A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1589_A_MSB38046A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	Control
PXD017052-Sample 16	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-339	run 47	proteomic profiling by mass spectrometer	EXP19003_X1590_A_MSB38047A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1590_A_MSB38047A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	Control
PXD017052-Sample 16	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-339	run 48	proteomic profiling by mass spectrometer	EXP19003_X1591_A_MSB38048A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1591_A_MSB38048A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	Control
PXD017052-Sample 17	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-339	run 49	proteomic profiling by mass spectrometer	EXP19003_X1592_A_MSB38049A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1592_A_MSB38049A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 17	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-339	run 50	proteomic profiling by mass spectrometer	EXP19003_X1593_A_MSB38050A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1593_A_MSB38050A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 17	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-339	run 51	proteomic profiling by mass spectrometer	EXP19003_X1594_A_MSB38051A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1594_A_MSB38051A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 18	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-339	run 52	proteomic profiling by mass spectrometer	EXP19003_X1595_A_MSB38052A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1595_A_MSB38052A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 18	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-339	run 53	proteomic profiling by mass spectrometer	EXP19003_X1596_A_MSB38053A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1596_A_MSB38053A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 18	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-339	run 54	proteomic profiling by mass spectrometer	EXP19003_X1597_A_MSB38054A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1597_A_MSB38054A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 19	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-339	run 55	proteomic profiling by mass spectrometer	EXP19003_X1598_A_MSB38055A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1598_A_MSB38055A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 19	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-339	run 56	proteomic profiling by mass spectrometer	EXP19003_X1599_A_MSB38056A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1599_A_MSB38056A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 19	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-339	run 57	proteomic profiling by mass spectrometer	EXP19003_X1600_A_MSB38057A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1600_A_MSB38057A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 20	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-339	run 58	proteomic profiling by mass spectrometer	EXP19003_X1601_A_MSB38058A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1601_A_MSB38058A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 20	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-339	run 59	proteomic profiling by mass spectrometer	EXP19003_X1602_A_MSB38059A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1602_A_MSB38059A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 20	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-339	run 60	proteomic profiling by mass spectrometer	EXP19003_X1603_A_MSB38060A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1603_A_MSB38060A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-339	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 21	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-374	run 61	proteomic profiling by mass spectrometer	EXP19003_X1604_A_MSB38061A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1604_A_MSB38061A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	NoSpike
PXD017052-Sample 21	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-374	run 62	proteomic profiling by mass spectrometer	EXP19003_X1605_A_MSB38062A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1605_A_MSB38062A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	NoSpike
PXD017052-Sample 21	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-374	run 63	proteomic profiling by mass spectrometer	EXP19003_X1606_A_MSB38063A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1606_A_MSB38063A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	NoSpike
PXD017052-Sample 22	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-374	run 64	proteomic profiling by mass spectrometer	EXP19003_X1607_A_MSB38064A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1607_A_MSB38064A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	Control
PXD017052-Sample 22	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-374	run 65	proteomic profiling by mass spectrometer	EXP19003_X1608_A_MSB38065A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1608_A_MSB38065A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	Control
PXD017052-Sample 22	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-374	run 66	proteomic profiling by mass spectrometer	EXP19003_X1609_A_MSB38066A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1609_A_MSB38066A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-374	Control
