source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020727-Sample-30	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	cAMP_6	proteomic profiling by mass spectrometry	cAMP_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/cAMP_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-31	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	Proteominer_1	proteomic profiling by mass spectrometry	Proteominer_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-32	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	Proteominer_2	proteomic profiling by mass spectrometry	Proteominer_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-33	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	Proteominer_3	proteomic profiling by mass spectrometry	Proteominer_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-34	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	Proteominer_4	proteomic profiling by mass spectrometry	Proteominer_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-35	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	Proteominer_5	proteomic profiling by mass spectrometry	Proteominer_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-36	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	Proteominer_6	proteomic profiling by mass spectrometry	Proteominer_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/Proteominer_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-37	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	pTYR_1	proteomic profiling by mass spectrometry	pTYR_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-38	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	pTYR_2	proteomic profiling by mass spectrometry	pTYR_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-39	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	pTYR_3	proteomic profiling by mass spectrometry	pTYR_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-40	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	pTYR_4	proteomic profiling by mass spectrometry	pTYR_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-41	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	pTYR_5	proteomic profiling by mass spectrometry	pTYR_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-42	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	pTYR_6	proteomic profiling by mass spectrometry	pTYR_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/pTYR_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
