source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
MSV000087095-Sample-35	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	35	proteomic profiling by mass spectrometry	ms run 35	1	993_Mercury_20201214_120_131_7746_14208Apex_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208Apex_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-36	Homo sapiens	heart	heart apex	Cardiomyocytes	not available	not available	not available	normal	not available	36	proteomic profiling by mass spectrometry	ms run 36	1	993_Mercury_20201214_120_131_7746_14208Apex_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208Apex_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-37	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	37	proteomic profiling by mass spectrometry	ms run 37	1	993_Mercury_20201214_120_131_7746_14208LV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208LV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-38	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	38	proteomic profiling by mass spectrometry	ms run 38	1	993_Mercury_20201214_120_131_7746_14208LV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208LV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-39	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	39	proteomic profiling by mass spectrometry	ms run 39	1	993_Mercury_20201214_120_131_7746_14208LV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208LV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-40	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	40	proteomic profiling by mass spectrometry	ms run 40	1	993_Mercury_20201214_120_131_7746_14208RV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208RV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-41	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	41	proteomic profiling by mass spectrometry	ms run 41	1	993_Mercury_20201214_120_131_7746_14208RV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208RV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-42	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	42	proteomic profiling by mass spectrometry	ms run 42	1	993_Mercury_20201214_120_131_7746_14208RV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14208RV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-43	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	43	proteomic profiling by mass spectrometry	ms run 43	1	993_Mercury_20201214_120_131_7746_14214LV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214LV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-44	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	44	proteomic profiling by mass spectrometry	ms run 44	1	993_Mercury_20201214_120_131_7746_14214LV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214LV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-45	Homo sapiens	heart	left ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	45	proteomic profiling by mass spectrometry	ms run 45	1	993_Mercury_20201214_120_131_7746_14214LV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214LV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-46	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	46	proteomic profiling by mass spectrometry	ms run 46	1	993_Mercury_20201214_120_131_7746_14214RV_CM_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214RV_CM_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-47	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	47	proteomic profiling by mass spectrometry	ms run 47	1	993_Mercury_20201214_120_131_7746_14214RV_CM_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214RV_CM_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-48	Homo sapiens	heart	right ventricle	Cardiomyocytes	not available	not available	not available	normal	not available	48	proteomic profiling by mass spectrometry	ms run 48	1	993_Mercury_20201214_120_131_7746_14214RV_CM_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7746_14214RV_CM_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-49	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	49	proteomic profiling by mass spectrometry	ms run 49	1	993_Mercury_20201214_120_131_7749_14214LV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214LV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-50	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	50	proteomic profiling by mass spectrometry	ms run 50	1	993_Mercury_20201214_120_131_7749_14214LV_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214LV_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-51	Homo sapiens	heart	left ventricle	whole tissue	not available	not available	not available	normal	not available	51	proteomic profiling by mass spectrometry	ms run 51	1	993_Mercury_20201214_120_131_7749_14214LV_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214LV_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-52	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	52	proteomic profiling by mass spectrometry	ms run 52	1	993_Mercury_20201214_120_131_7749_14214RV_001.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214RV_001.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-53	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	53	proteomic profiling by mass spectrometry	ms run 53	1	993_Mercury_20201214_120_131_7749_14214RV_002.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214RV_002.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
MSV000087095-Sample-54	Homo sapiens	heart	right ventricle	whole tissue	not available	not available	not available	normal	not available	54	proteomic profiling by mass spectrometry	ms run 54	1	993_Mercury_20201214_120_131_7749_14214RV_003.raw	ftp://massive.ucsd.edu/MSV000087095/raw/993_Mercury_20201214_120_131_7749_14214RV_003.raw	1	NT=Data-Independent Acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003094; NT=Orbitrap Exploris 240	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Propionamide;TA=C;MT=fixed;AC=UNIMOD:24	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	10 ppm	10 ppm	heart
